Weekly GroceryExpenditure,Weekly Eating Out Expenditure,Finding affordable foods that fit my budget,"Avoiding foods that contain pesticides, added hormones & antibiotics","Finding convenient, quick-to-make alternatives",Finding foods my children will eat,Losing weight,Finding time to cook at home,"Avoiding certain nutrients or ingredients (i.e. sodium, carbohydrates, trans fats, etc.)",CurrentlyFarm,Age,MaritalStatus,NumberInHousehold,Children<12,CurrentlyOnFoodStamps,Education,Approximate / annual household income before taxes in 2012,0,1,2,3,4,5,6,7,8,9,Cluster,Race,State
9.0,2.0,5.0,4.0,6.0,2.0,1.0,7.0,3.0,2.0,4.0,2.0,4.0,1.0,2.0,6.0,7.0,2.5093430365056095,-1.2409920261272405,1.6307903440389233,1.382477371394991,-0.4782395196561972,1.803905042293773,0.26400297831318154,-0.4231168657284149,-1.3265774028668054,-0.25416454797795013,3,5.0,21.0
6.0,3.0,7.0,6.0,5.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,4.0,2.185588550058155,-0.1695585270522444,-0.4517446114533124,1.5199102989792326,0.15524155422531322,0.8838800901201902,-1.4125357710356663,0.892876401947424,-1.3932685118771635,-0.05752900143458453,3,2.0,21.0
6.0,7.0,7.0,5.0,6.0,3.0,4.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,5.0,5.0,3.276908158491358,-0.8058248208617279,0.9935171117232264,0.07440497928046225,2.5989889929828984,-0.9706786301474148,-1.4442695279143802,0.42988518604393405,-0.021469490100628007,1.529631140546631,5,2.0,21.0
4.0,2.0,1.0,6.0,3.0,7.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,4.0,-0.6919339839011825,0.620009655196105,-1.063173848427453,0.5376052348351055,-0.8665603653513007,-1.591434057308615,0.8722610939806469,-0.9684648028773158,-0.7108073610170443,1.3503112242588313,7,2.0,34.0
1.0,1.0,1.0,2.0,3.0,6.0,7.0,4.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,-1.3189763775299752,3.107167040889914,0.14915554660555524,-0.6807464086665298,0.0269974631211942,-2.3565087484934013,0.1534033243769293,-0.5705692344838513,-0.15175032109464986,-0.683253541072634,7,1.0,10.0
9.0,3.0,1.0,3.0,5.0,2.0,7.0,6.0,4.0,2.0,3.0,2.0,5.0,1.0,2.0,6.0,4.0,2.6752264543780546,0.7827077295250301,1.3547843093984417,-1.1889838267340507,-1.7716217748389187,1.1940070692553493,0.812425135730361,-1.6440018018246254,-0.7302078970361472,0.09151773618701191,3,1.0,43.0
8.0,2.0,1.0,5.0,3.0,2.0,7.0,6.0,4.0,2.0,2.0,4.0,4.0,1.0,2.0,4.0,5.0,1.8359778063168404,1.4332935635140294,0.5070194401445381,-1.6481500446143607,-0.9969717811968936,2.189541505722044,1.005335715777217,-0.36305894140625117,-1.1025253900077379,0.4135969433870999,2,14.0,21.0
6.0,5.0,2.0,7.0,5.0,3.0,1.0,4.0,6.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,0.39481002171671564,2.242220982888282,-0.5074432371328524,1.6084659560174412,0.7642918774917842,1.0286412904528883,-0.04654901295100165,0.6678199087899767,1.6907688705576494,0.314903152267068,2,2.0,21.0
3.0,4.0,1.0,3.0,5.0,7.0,6.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,5.0,5.0,-1.1333025062491018,-0.2769423331733008,0.16218209595275968,-0.21019655140373875,-0.670227299190375,-1.8978120181168776,-0.009943989902867666,-1.56110842539729,-0.07288673972588249,0.6232292817074442,6,1.0,33.0
9.0,1.0,3.0,4.0,7.0,6.0,2.0,1.0,5.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,1.1816057776748035,0.9542394182280962,-0.06070333561767114,1.2877362786391846,-1.741478857146548,0.8268075781783016,-1.648858876502622,-0.07949835973102617,1.8177373758213782,0.24968874939649072,2,2.0,10.0
4.0,1.0,2.0,1.0,4.0,7.0,5.0,6.0,3.0,2.0,6.0,5.0,2.0,2.0,2.0,5.0,4.0,-2.4471954069208577,-0.5771543458633153,1.5353200267971712,-1.6724926447057238,0.6750715421965725,1.3527657907974675,-0.0067792223740215625,-0.7921820932849077,-0.6452801437957592,-0.7699130590974836,1,2.0,33.0
2.0,1.0,2.0,4.0,3.0,7.0,6.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,-1.0909676436036673,1.935624596746998,-1.84216410947325,-0.10164339748450357,-1.118836148604571,-2.0969490916416187,-0.9181785664870069,-0.2506269826592256,0.06798140357315087,-0.2196273274923869,7,1.0,20.0
6.0,3.0,1.0,5.0,4.0,7.0,2.0,3.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,6.0,-0.20654036809104093,-0.010641056789652516,-1.6928778604475676,1.1021781128195036,-0.5321357961769113,-0.2033048145789983,0.35324538605134076,-1.2062113324945352,1.2357755686108323,-0.39902204878377023,7,1.0,31.0
4.0,6.0,3.0,6.0,7.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,0.5660514949545444,0.5075754407298849,0.2524443486094064,1.0312758304883398,-1.1020511354386526,-0.26316766261666635,-1.544022545121557,0.06784201755199577,0.4470426382905981,2.1864102152062563,2,2.0,10.0
6.0,2.0,2.0,1.0,4.0,7.0,6.0,3.0,5.0,2.0,6.0,5.0,2.0,2.0,2.0,5.0,3.0,-1.7805562053297952,-0.38622604142519845,0.38309640626675295,-2.4957934870722864,0.5457971103033533,1.4048466548370946,-0.8486648817984408,-0.8826147042518773,0.5913264371835513,-0.9487230583603536,1,6.0,33.0
3.0,1.0,4.0,1.0,2.0,7.0,6.0,3.0,5.0,2.0,7.0,4.0,1.0,2.0,2.0,3.0,2.0,-2.91865373217269,0.13126541810850306,-0.22602698910855895,-2.245756781665593,0.6414141962006699,0.39374263540813087,-0.8599587278956882,0.8551632292658251,-0.013519191383777428,-1.6053720731890007,1,2.0,11.0
8.0,5.0,2.0,3.0,7.0,1.0,4.0,5.0,6.0,2.0,4.0,2.0,2.0,2.0,2.0,6.0,9.0,1.6977583777631777,-1.243525644140358,0.4317796581829179,-0.17199179686878782,-0.4044432884468186,1.1669677105374667,-0.5464575299797029,-2.0792575681481553,0.40471697081016134,-1.049099652500138,3,4.0,47.0
8.0,4.0,3.0,1.0,2.0,7.0,6.0,4.0,5.0,2.0,4.0,1.0,3.0,2.0,1.0,4.0,2.0,0.1712169838274468,0.8173143799430151,0.3931947839185836,-1.2892373386930545,-0.12164363010358402,-1.37109585882387,1.2351554634763766,0.5233431486839277,1.8096032013885057,-0.7211943999629257,6,2.0,39.0
9.0,6.0,3.0,4.0,1.0,6.0,5.0,7.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,5.0,7.0,2.209659400371163,-1.1756504027012333,0.42042885549283826,-0.7983392166712251,-0.7773824526372485,0.388832705567272,2.891436996095369,0.2874857145200109,-0.4445056395209452,0.5611541868017819,3,8.0,7.0
